17:02:08.540 [main] INFO  com.LetsGo.RunRun - Info-1
17:02:58.947 [main] ERROR com.LetsGo.RunRun - Error-1
17:04:25.915 [main] ERROR com.LetsGo.Right - Error
17:04:25.951 [main] ERROR com.LetsGo.RunRun - Error-1
15:30:35.457 [main] ERROR com.Logs.Right - Error
16:33:45.680 [main] ERROR com.Logs.RunRun - Error-1
17:16:20.235 [main] ERROR com.Logs.RunRun - Error-1
17:16:57.443 [main] ERROR com.Logs.RunRun - Error-1
17:17:45.484 [main] ERROR com.Logs.RunRun - Error-1
17:22:54.325 [main] ERROR com.Logs.RunRun - Error-1
17:53:12.282 [main] ERROR com.Logs.RunRun - Error-1
